PO,Debit Amount,Count
PO11432,8958.923,1
PO1145,190700.097,1
PO11456,5479.5,1
PO1146,15970.373,1
PO11460,98395.74,1
PO11462,105358.8,1
PO11467,11035.68,1
PO11469,3566.241,1
PO1147,2831.624,1
PO11472,21221.213,1
PO11473,5021.12,1
PO11476,3920.636,1
PO1148,369,1
PO1149,135500,1
PO11490,98494.6,1
PO11491,465735.2,1
PO11493,65929.5,1
PO11494,108561.6,1
PO11496,65910,1
PO11498,3432.364,1
PO1150,2898,1
PO11500,4896,1
PO11501,20576,1
PO11503,12030,1
PO11504,226428,1
PO11505,77490,1
PO11506,2641512,1
PO11510,6554.819,1
PO11511,57580.6,1
PO11515,5763.182,1
PO11517,9615.871,1
PO11524,32754.36,1
PO11525,223560.7,1
PO11526,32754.36,1
PO11527,32754.36,1
PO11528,32754.36,1
PO11529,32754.36,1
PO11530,38198.1,1
PO11531,43267.5,1
PO11532,32754.36,1
PO11533,41580,1
PO11534,32754.36,1
PO11535,43267.5,1
PO11536,42484.32,1
PO11537,38198.1,1
PO11538,32754.36,1
PO11539,43267.5,1
PO11540,65508.72,1
PO11542,3938325,1
PO11545,93260,1
PO11546,0,1
PO11551,755271.253,1
PO11552,85275,1
PO11561,7505.75,1
PO11563,13982.47,1
PO11564,49385.78,1
PO11565,14846.088,1
PO11566,9048,1
PO11567,51685,1
PO11568,61387.2,1
PO11569,4979.277,1
PO11570,4270.08,1
PO11571,8406.72,1
PO11579,630.45,1
PO11580,630.45,1
PO11581,536.64,1
PO11588,57252.6,1
PO11590,14155.508,1
PO11594,5760,1
PO1160,59963.76,1
PO1161,59239.84,1
PO1162,1625000,1
PO1163,987.5,1
PO1165,322036,1
PO1166,80861.692,1
PO1167,86632.48,1
PO117,205675.2,1
PO11741,57476.18,1
PO11742,56078.96,1
PO11745,536.503,1
PO11746,11803.056,1
PO11748,4701.591,1
PO1175,85305.6,1
PO11752,60487.064,1
PO11753,7669.644,1
PO11758,4200,1
PO1178,1030400,1
PO11784,25094.35,1
PO11788,2455.2,1
PO11789,9450,1
PO11792,9322.85,1
PO118,45144,1
PO1180,37082.466,1
PO11801,2133.25,1
PO11802,22070.87,1
PO11803,195,1
PO11814,63810.67,1
PO11815,31500,1
PO11817,43680,1
PO11818,51861.6,1
PO11819,10000,1
PO11823,813764,1
PO11825,1356253,1
PO119,855000,1
PO120,477360,1
PO1204,29476.7,1
PO12091,0,1
PO121,115163.2,1
PO12101,0,1
PO12107,64220,1
PO12108,9150.02,1
PO12110,120431.33,1
PO12111,146916.864,1
PO12112,45510,1
PO12113,29996.2,1
PO12114,377499.2,1
PO12115,18381.437,1
PO12116,2722545,1
PO12117,5412.535,1
PO12118,62269.16,1
PO12124,3775045.7,1
PO12127,2415100,1
PO12129,22089.6,1
PO12135,17205.6,1
PO12138,3876,1
PO12139,9395.454,1
PO12140,12540,1
PO12141,3479.799,1
PO12142,16239.06,1
PO12144,123114.56,1
PO12145,19725.69,1
PO12146,1159.933,1
PO12147,11019.362,1
PO12148,30018.354,1
PO12149,343001.2,1
PO12150,55518.48,1
PO12152,2465829.46,1
