Discount,Vendor Code,Vendor Name,Vendor,Payment Terms,Deposit Required,Prepay G,Prepay H,Net Days (Due post ERD)
,S-CN-00160,"Suzhou Yunchengyun Technology Co.,Ltd.","S-CN-00160 Suzhou Yunchengyun Technology Co.,Ltd.",Net 30,0%,0%,0%,30
,S-CN-00161 ,"Shanghai Chuangshi Medical Technology (Group) Co.,Ltd","S-CN-00161 Shanghai Chuangshi Medical Technology (Group) Co.,Ltd",30/70 (Net 0),30%,100%,70%,0
,S-HK-00001 ,SellWell International Enterprises Ltd.,S-HK-00001 SellWell International Enterprises Ltd.,Net 30,0%,0%,0%,30
,S-HK-00003,Sienna NV LLC,S-HK-00003 Sienna NV LLC,33/33/33 Net 60,30%,66%,36%,60
,S-IN-00002,S Duraisamy and Sons,S-IN-00002 S Duraisamy and Sons,Net 30,0%,0%,0%,30
,S-JP-00001 ,"Sugimoto Seicha Co., Ltd.","S-JP-00001 Sugimoto Seicha Co., Ltd.",Net 30,0%,0%,0%,30
,S-UK-00007 ,Sleeve Solutions,S-UK-00007 Sleeve Solutions,30/70 (Net 30),30%,30%,0%,30
,S-US-00022,Specialty Mattress,S-US-00022 Specialty Mattress,30-70 (Net 30),30%,30%,0%,30
,S-US-00024,Sanco Industries,S-US-00024 Sanco Industries,Net 0,0%,100%,0%,0
,S-US-00045 ,Sontara庐 North America,S-US-00045 Sontara庐 North America,NET 30,0%,0%,0%,30
,S-US-00046,"Sealpak Associates, Inc.","S-US-00046 Sealpak Associates, Inc.",NET 30,0%,0%,0%,30
,S-VT-00001 ,Sadaco,S-VT-00001 Sadaco,30-70 (Net 7),30%,30%,0%,7
,T-CN-00002,Trigold,T-CN-00002 Trigold,Net30,0%,0%,0%,30
,T-CN-0001 T,expack Manufacturing Limited,T-CN-0001 Texpack Manufacturing Limited,30-70 (Net 0),30%,100%,70%,0
,T-CN-00013 ,"Taixing Oriental Musical Instrument co., ltd.","T-CN-00013 Taixing Oriental Musical Instrument co., ltd.",Net 30,0%,0%,0%,30
,T-CN-00021,TJ Mark Industry Co Limited,T-CN-00021 TJ Mark Industry Co Limited,10/90 net 30,10%,10%,0%,30
,T-CN-00023 ,TaiKi Musical Instrument Corp,T-CN-00023 TaiKi Musical Instrument Corp,30-70 (Net 0),30%,100%,70%,0
,T-CN-00026,Tianjin Flourishing International Trade Co. Ltd,T-CN-00026 Tianjin Flourishing International Trade Co. Ltd,Net 30,0%,0%,0%,30
,T-CN-00027 ,"Tiantai Bebete Rubber & Plastic Co., Ltd.","T-CN-00027 Tiantai Bebete Rubber & Plastic Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,T-CN-00029 ,"Tangson Development Co., Limited","T-CN-00029 Tangson Development Co., Limited",30-70 (Net 0),30%,100%,70%,0
,T-CN-00030,"Transmart Trading Co., Limited","T-CN-00030 Transmart Trading Co., Limited",30-70 (Net 0),30%,100%,70%,0
,T-JP-00001 ,Tousuien Co. Ltd,T-JP-00001 Tousuien Co. Ltd,NET 30,0%,0%,0%,30
,T-UK-00001 ,Techtron Ltd,T-UK-00001 Techtron Ltd,30-70 (Net 0),30%,100%,70%,0
,T-US-00010,THE PAGE SEED COMPANY,T-US-00010 THE PAGE SEED COMPANY,30-70 (Net 0),30%,100%,70%,0
,T-VT-00001,Thai Thinh Phat Import Export Company Ltd,T-VT-00001 Thai Thinh Phat Import Export Company Ltd,30-70 (Net 7),30%,30%,0%,7
,U-CN-00004,"Unishine (Shanghai) Industrial Co., Ltd.","U-CN-00004 Unishine (Shanghai) Industrial Co., Ltd.",Net 30,0%,0%,0%,30
,U-US-00009,United Container Corporation,U-US-00009 United Container Corporation,NET 30,0%,0%,0%,30
,U-US-00014,ULINE,U-US-00014 ULINE,,,,0%,
,U-US-00017,United States Tape and Label Corporation (U S Tape & Label Corp),U-US-00017 United States Tape and Label Corporation (U S Tape & Label Corp),NET 30,0%,0%,0%,30
,V-VT-00001 ,Viet Tin Phat Equipment Joint Stock Company,V-VT-00001 Viet Tin Phat Equipment Joint Stock Company,30-40-30,30%,70%,40%,30
3.50%,W-CN-00005,"WUXI JHT HOMEWARES CO., LTD","W-CN-00005 WUXI JHT HOMEWARES CO., LTD",30/70 (Net 30) 3.5% discount,30%,30%,0%,30
,W-CN-00022 ,"World Bio / Shanghai World Biotech Co.,ltd","W-CN-00022 World Bio / Shanghai World Biotech Co.,ltd",30/70 (Net 30),30%,30%,0%,30
,W-CN-00023,"Wuqiang County Haiyi Musical Instrument Co., Ltd.","W-CN-00023 Wuqiang County Haiyi Musical Instrument Co., Ltd.",Net 30,0%,0%,0%,30
,W-CN-00027 ,Wenzhou Times,W-CN-00027 Wenzhou Times,30/70 (Net 30),30%,30%,0%,30
,W-CN-00028,Wuyi Easy Furniture Co. Ltd.,W-CN-00028 Wuyi Easy Furniture Co. Ltd.,Net 0,0%,100%,0%,0
,W-CN-00030,Winshow Industrial Ltd,W-CN-00030 Winshow Industrial Ltd,NET 30,0%,0%,0%,30
,W-CN-00037 ,WinWin World,W-CN-00037 WinWin World,10-90 (Net 0),10%,100%,90%,0
,W-CN-00043 ,"Wuhan Shangmite Technology Co., Ltd.","W-CN-00043 Wuhan Shangmite Technology Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,W-CN-00044,Wenzhou You Te Pet Products,W-CN-00044 Wenzhou You Te Pet Products,Net 30,0%,0%,0%,30
,W-CN-00048 ,"Workman Co., Ltd","W-CN-00048 Workman Co., Ltd",30-70 (Net 0),30%,100%,70%,0
3.50%,W-CN-00049,"Wuxi JHT Trading Co.,Ltd","W-CN-00049 Wuxi JHT Trading Co.,Ltd",30/70 (Net 30) 3.5% discount,30%,30%,0%,30
,W-HK-00001 ,Wingo,W-HK-00001 Wingo,30/70 (Net 30),30%,30%,0%,30
,W-UK-00007,Watsons Packaging,W-UK-00007 Watsons Packaging,NET 30,0%,0%,0%,30
,W-US-00011,"Wepackit,Inc.","W-US-00011 Wepackit,Inc.",Net7,0%,0%,0%,7
,X-CN-00001 ,"Xiamen FML Imp.& Exp. Co., Ltd","X-CN-00001 Xiamen FML Imp.& Exp. Co., Ltd",30-70 (Net 0),30%,100%,70%,0
,X-CN-00002 ,"Xiamen UP Umbrella Co.,Ltd","X-CN-00002 Xiamen UP Umbrella Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,X-CN-00019 ,Xiamen Vork Health Industry Co. Ltd,X-CN-00019 Xiamen Vork Health Industry Co. Ltd,30-70 (Net 0),30%,100%,70%,0
,X-CN-00026,Xinlehong Toys Factory,X-CN-00026 Xinlehong Toys Factory,30-70 (Net 0),30%,100%,70%,0
,X-CN-00027 ,"XT-Yangjiang best gift industry and Trade Co., Ltd","X-CN-00027 XT-Yangjiang best gift industry and Trade Co., Ltd",30/70 (Net 30),30%,30%,0%,30
,Y-CN-00011,"YOU SHINING INDUSTRY CO., LTD.","Y-CN-00011 YOU SHINING INDUSTRY CO., LTD.",30/70 (Net 30),30%,30%,0%,30
,Y-CN-00031,Yao Qi Garments Co. LTD,Y-CN-00031 Yao Qi Garments Co. LTD,30-70 (Net 0),30%,100%,70%,0
,Y-CN-00044 ,"Yangzhou Boli Sporting Goods CO.,LTD","Y-CN-00044 Yangzhou Boli Sporting Goods CO.,LTD",Net 30,0%,0%,0%,30
,Y-CN-00047 ,"Yuyao Ouyou Electrical Appliance Technology Co.,Ltd","Y-CN-00047 Yuyao Ouyou Electrical Appliance Technology Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,Y-CN-00054 ,"Yangjiang HomeYee Hardware Industrial Co,.Ltd","Y-CN-00054 Yangjiang HomeYee Hardware Industrial Co,.Ltd",30-70 (Net 0),30%,100%,70%,0
,Y-CN-00055 ,Yongkang Promise Import Export Co (..7802,Y-CN-00055 Yongkang Promise Import Export Co (..7802,10-90 (Net 0),10%,100%,90%,0
,Y-CN-00061 ,"Yangjiang Jiangcheng District Ruixin Kitchen Industry Co., Ltd.","Y-CN-00061 Yangjiang Jiangcheng District Ruixin Kitchen Industry Co., Ltd.",Net 30,0%,0%,0%,30
,Y-CN-00063,Yiwu Zhongyun Car Supplies,Y-CN-00063 Yiwu Zhongyun Car Supplies,Net 30,0%,0%,0%,30
,Y-CN-00064,Yiwu Zhenjia Pet Products Factory,Y-CN-00064 Yiwu Zhenjia Pet Products Factory,30-70 (Net 0),30%,100%,70%,0
,Y-CN-00066,Yiwu Miaosi General Merchandise Co,Y-CN-00066 Yiwu Miaosi General Merchandise Co,30/70 (Net 30),30%,30%,0%,30
,Y-CN-00071,"Yiwu Jiacheng Arts & Crafts Co.,Ltd/HONGKONG HAODONGSHENG GIFT LIMITED","Y-CN-00071 Yiwu Jiacheng Arts & Crafts Co.,Ltd/HONGKONG HAODONGSHENG GIFT LIMITED",30-70 (Net 0),30%,100%,70%,0
,Y-KR-00001 ,Y&K Healthcare Co Ltd,Y-KR-00001 Y&K Healthcare Co Ltd,30-70 (Net 0),30%,100%,70%,0
,Z-CN-00001 ,ZHEJIANG NEW VISION IMP AND EXP CO LTD,Z-CN-00001 ZHEJIANG NEW VISION IMP AND EXP CO LTD,Net 30,0%,0%,0%,30
,Z-CN-00007,Zhongshan Scott Clean&Purification Co.Ltd,Z-CN-00007 Zhongshan Scott Clean&Purification Co.Ltd,NET30,0%,0%,0%,30
,Z-CN-00008 ,Zhejiang Jike Industry and Trade Co.Ltd,Z-CN-00008 Zhejiang Jike Industry and Trade Co.Ltd,Net 30,0%,0%,0%,30
,Z-CN-00026,"Zhejiang Ecocom Hygiene Produts CO., LTD","Z-CN-00026 Zhejiang Ecocom Hygiene Produts CO., LTD",30-70 (Net 30),30%,30%,0%,30
,Z-CN-00028 ,"Zhejiang Lenwave Sporting Goods Co., Ltd.","Z-CN-00028 Zhejiang Lenwave Sporting Goods Co., Ltd.",Net 30,0%,0%,0%,30
,Z-CN-00033,Zhejiang Sorbo Technology,Z-CN-00033 Zhejiang Sorbo Technology,30-70 (Net 0),30%,100%,70%,0
,Z-CN-00036 ,ZFY,Z-CN-00036 ZFY,30-70 (Net 0),30%,100%,70%,0
,Z-CN-00040 ,"Zheng Xing Co., Limited","Z-CN-00040 Zheng Xing Co., Limited",30/70 (Net 30),30%,30%,0%,30
,Z-CN-00045,"Zhejiang Steel Industry And Trade Co.,Ltd","Z-CN-00045 Zhejiang Steel Industry And Trade Co.,Ltd",0-100 (Net 0),0%,100%,0%,0
,Z-CN-00050 ,Zeee Power,Z-CN-00050 Zeee Power,30/70 (Net 30),30%,30%,0%,30
,Z-CN-00055,"Zhejiang Sun-Rain Industrial Co .,Ltd","Z-CN-00055 Zhejiang Sun-Rain Industrial Co .,Ltd",30/70 (Net 30),30%,30%,0%,30
,Z-CN-00056 ,"Zhejiang Intech Smart Office Co.,Ltd.","Z-CN-00056 Zhejiang Intech Smart Office Co.,Ltd.",NET 30,0%,0%,0%,30
,Z-CN-00057,"Zhejiang Detong Intelligent Outdoor Leisure Products Co., Ltd.","Z-CN-00057 Zhejiang Detong Intelligent Outdoor Leisure Products Co., Ltd.",30-70 (Net 30),30%,30%,0%,30
,Z-CN-00058 ,"Zhejiang Chunzhou Aluminium Industry Co., Ltd","Z-CN-00058 Zhejiang Chunzhou Aluminium Industry Co., Ltd",30-70 (Net 0),30%,100%,70%,0
,N-CN-00014,"Ningbo Newland Magnet Industry Trade Co., Ltd","N-CN-00014 Ningbo Newland Magnet Industry Trade Co., Ltd",PIA 20-80,20%,100%,80%,0
,R-US-00011,"R&D Printing, Inc.","R-US-00011 R&D Printing, Inc.",NET 30,0%,0%,0%,30
,T-US-000245,"Tropical Product, Incorporated","T-US-000245 Tropical Product, Incorporated",Net 15,0%,0%,0%,15
,Z-CN-00037,"Zhejiang Haers Vacuum Containers Co.,Ltd.","Z-CN-00037 Zhejiang Haers Vacuum Containers Co.,Ltd.",30-70 (Net 0),30%,100%,70%,0
,S-CN-00134,Shenzhen 91ballpen Stationery Co. Ltd,S-CN-00134 Shenzhen 91ballpen Stationery Co. Ltd,30-70 (Net 0),30%,100%,70%,0
,W-TW-00001,"Wah Yung Enterprises CO., LTD.","W-TW-00001 Wah Yung Enterprises CO., LTD.",30-70 (Net 0),30%,100%,70%,0
,H-VT-00001,Hoang Khang VY Co Ltd,H-VT-00001 Hoang Khang VY Co Ltd,Net 0,0%,100%,0%,0
,H-CN-00066,Hebei Houde Hanfang Medical Devices Group Co.Ltd,H-CN-00066 Hebei Houde Hanfang Medical Devices Group Co.Ltd,30/70,30%,30%,0%,30
,N-CN-00039,"Nergal Technology Co., ltd.","N-CN-00039 Nergal Technology Co., ltd.",30-70 (Net 0),30%,100%,70%,0
,P-HK-00001,Pacific Honour,P-HK-00001 Pacific Honour,30-70 (Net 0),30%,100%,70%,0
,D-CN-00029,Dalian Crystal Coast,D-CN-00029 Dalian Crystal Coast,30-70 (Net 0),30%,100%,70%,0
,W-CN-00002,Wintex Shanghai Decoration Corporation,W-CN-00002 Wintex Shanghai Decoration Corporation,30-70 (Net 0),30%,100%,70%,0
,S-US-00053,SmartFragrances LLC,S-US-00053 SmartFragrances LLC,,,,0%,
,D-US-00022,"Danbury Square Box Company, Inc.","D-US-00022 Danbury Square Box Company, Inc.",,,,0%,
,Y-CN-00020,"Yiwu Deyi Trading Co., Ltd","Y-CN-00020 Yiwu Deyi Trading Co., Ltd",30-70 (Net 0),30%,100%,70%,0
,H-CN-00001,"Hangzhou Comfort&Health Homeware Co, Ltd","H-CN-00001 Hangzhou Comfort&Health Homeware Co, Ltd",30-70 (Net 0),30%,100%,70%,0
,Q-CN-00028,QZ Huaxin Bag Factory,Q-CN-00028 QZ Huaxin Bag Factory,30-70 (Net 0),30%,100%,70%,0
,O-US-00007,O.Berk Company of New England,O-US-00007 O.Berk Company of New England,100% Prepay,100%,100%,0%,0
,M-CN-00015,Mayllinebe Cosmetics,M-CN-00015 Mayllinebe Cosmetics,NET 30,0%,0%,0%,30
,suppE-CN-00012 ,"Ever Bright (Shen Zhen) Packing Co., Ltd.","suppE-CN-00012 Ever Bright (Shen Zhen) Packing Co., Ltd.",NET 30,0%,0%,0%,30
,S-US-00054,"Scent2market, Inc.","S-US-00054 Scent2market, Inc.",,,,0%,
,U-CN-00006,UZ Technology (Shenzhen) Company Limited,U-CN-00006 UZ Technology (Shenzhen) Company Limited,30-70 (Net 0),30%,100%,70%,0
,L-US-00014,LANXESS Corporation,L-US-00014 LANXESS Corporation,100% Prepay,100%,100%,0%,0
,J-CN-00018,Jili Ruicheng ,J-CN-00018 Jili Ruicheng,,,,0%,
,S-CN-00101,"Shantou Golden Bright Toys Co.,Ltd","S-CN-00101 Shantou Golden Bright Toys Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,E-US-00018,Ecometics,E-US-00018 Ecometics,,,,0%,
,D-CN-00043,"Dongguan Xiangquan printing Co., LTD","D-CN-00043 Dongguan Xiangquan printing Co., LTD",NET 30,0%,0%,0%,30
,J-CN-00003,"Jinhua DKS Sports Goods Co., Ltd","J-CN-00003 Jinhua DKS Sports Goods Co., Ltd",NET 30,0%,0%,0%,30
,Z-CN-00035,"Zhejiang Kaisi Outdoor Products Co.,Ltd",,NET 30,0%,0%,0%,30
,M-IN-00002,Marvellite Aromatics Private Limited,,NET 30,0%,0%,0%,30
,,,,Net 15,0%,0%,0%,15
,,,,Net 15,0%,0%,0%,15
,,,,T/T 30% deposit 70 % balance,30%,70%,40%,0
,,,,T/T 30% deposit 70 % balance,30%,70%,40%,0
,,,,30% prepayment/70% against B/L,30%,70%,40%,0
,,,,30% prepayment/70% against B/L,30%,70%,40%,0
,,,,T/T 30% deposit 70 % balance,30%,70%,40%,0
,,,,30% prepayment/70% against B/L,30%,70%,40%,0
,,,,30% prepayment/70% against B/L,30%,70%,40%,0
,,,,PIA 20-80,20%,100%,80%,0
,,,,PIA 30-70,30%,100%,70%,0
,,,,T/T; 100% before production,100%,0%,0%,0
,,,,100% after production,0%,0%,100%,0
,,,,PIA 40-60,40%,100%,60%,
