Discount,Vendor Code,Vendor Name,Vendor,Payment Terms,Deposit Required,Prepay G,Prepay H,Net Days (Due post ERD)
,F-CN-00020 ,"Foshan Nanhai Zhongde Knitting Socks Co.,Ltd.","F-CN-00020 Foshan Nanhai Zhongde Knitting Socks Co.,Ltd.",30-70 (Net 0),30%,100%,70%,0
,F-CN-00022 ,"Fullwin Household Products Co., Limited","F-CN-00022 Fullwin Household Products Co., Limited",30-70 (Net 0),30%,100%,70%,0
,F-CN-00025 ,"Fuzhou Riversuny Waterproof Garments & Bag Mfg.,LTD","F-CN-00025 Fuzhou Riversuny Waterproof Garments & Bag Mfg.,LTD",30-70 (Net 0),30%,100%,70%,0
,G-CN-00004,"DongGuan Panther Sporting Goods Co.,Ltd.","G-CN-00004 DongGuan Panther Sporting Goods Co.,Ltd.",30/70 (Net 30),30%,30%,0%,30
,G-CN-00015 ,"Guangzhou Perfect Link Cosmetic Co., Ltd","G-CN-00015 Guangzhou Perfect Link Cosmetic Co., Ltd",30-70 (Net 30),30%,30%,0%,30
,G-CN-00018 ,"Guangzhou Idealpak Co., Ltd","G-CN-00018 Guangzhou Idealpak Co., Ltd",PIA 50-50,50%,100%,50%,0
,G-CN-00022 ,Guangzhou S-up kids Co ltd,G-CN-00022 Guangzhou S-up kids Co ltd,30-70 (Net 0),30%,100%,70%,0
,G-CN-00023 ,"Guangdong Jinda Hardware Product Co., LTD","G-CN-00023 Guangdong Jinda Hardware Product Co., LTD",20-80 (0),20%,100%,80%,0
,G-MX-00001,Guala Dispensing Mexico SA DE CV,G-MX-00001 Guala Dispensing Mexico SA DE CV,100% Prepay,100%,100%,0%,0
,G-US-00013,GLH Chemical,G-US-00013 GLH Chemical,NET 30,0%,0%,0%,30
,H-CN-00002,"Hangzhou Yingmaode Housewares Co., Ltd","H-CN-00002 Hangzhou Yingmaode Housewares Co., Ltd",Net 30,0%,0%,0%,30
,H-CN-00013 ,"HEALTH CARE CO., LTD.","H-CN-00013 HEALTH CARE CO., LTD.",30-70 (Net 0),30%,100%,70%,0
,H-CN-00017,"Hzsamko Technologies Co., Ltd.","H-CN-00017 Hzsamko Technologies Co., Ltd.",Net 30,0%,0%,0%,30
,H-CN-00018 ,ADF Accessories,H-CN-00018 ADF Accessories,30-70 (Net 0),30%,100%,70%,0
,H-CN-00025,"Hangzhou Zhongzhi Industry CO.,LTD","H-CN-00025 Hangzhou Zhongzhi Industry CO.,LTD",30-70 (Net 0),30%,100%,70%,0
,H-CN-00046,Hangzhou Rich Home,H-CN-00046 Hangzhou Rich Home,30-70 (Net 0),30%,100%,70%,0
,H-CN-00049,"Hangzhou Huayi Home textile Co.,Ltd","H-CN-00049 Hangzhou Huayi Home textile Co.,Ltd",Net 30,0%,0%,0%,30
,H-CN-00056 ,"Hangzhou EasyPlus Technology Co., Ltd.","H-CN-00056 Hangzhou EasyPlus Technology Co., Ltd.",10-90 (Net 0),10%,100%,90%,0
,H-CN-00060 ,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd","H-CN-00060 Hangzhou Jinhong Sanniao Down Products CO.,Ltd",30-70 (Net 60),30%,30%,0%,60
,H-CN-00066,Hebei Hodaf Medical Devices,H-CN-00066 Hebei Hodaf Medical Devices,30/70,30%,100%,70%,0
,H-CN-00067,"Hangzhou Kanluck Trading Co., Ltd.","H-CN-00067 Hangzhou Kanluck Trading Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,H-CN-00071 ,Hongkong Amgo Enterprises,H-CN-00071 Hongkong Amgo Enterprises,30-70 (Net 0),30%,100%,70%,0
,H-CN-00076,"HUNAN DOUHE INTELLIGENT APPLIANCE CO.,LTD.","H-CN-00076 HUNAN DOUHE INTELLIGENT APPLIANCE CO.,LTD.",Net 30,0%,0%,0%,30
,H-HK-00001 ,"HONGKONG SHEEP ANTI-FATIGUE MAT CO.,LTD","H-HK-00001 HONGKONG SHEEP ANTI-FATIGUE MAT CO.,LTD",Net 30,0%,0%,0%,30
,H-HK-00002 ,"Hongkong MJ Win Toys Co., Limited","H-HK-00002 Hongkong MJ Win Toys Co., Limited",30-70 (Net 0),30%,100%,70%,0
,H-US-00004 ,HANS MANUFACTURER INC,H-US-00004 HANS MANUFACTURER INC,0-100 (Net 0),0%,100%,0%,0
,H-US-00017 ,Hudson Bay Living LLC,H-US-00017 Hudson Bay Living LLC,Net 30,0%,0%,0%,30
,I-CN-00007 ,"iFac (Hangzhou) Intelligent Manufacturing Co., Ltd.","I-CN-00007 iFac (Hangzhou) Intelligent Manufacturing Co., Ltd.",Net 30,0%,0%,0%,30
,I-IN-00002,Navneet Education Limited,I-IN-00002 Navneet Education Limited,Net 0,0%,100%,0%,0
,I-TW-00001,IPI Sports & Leisure Corporation,I-TW-00001 IPI Sports & Leisure Corporation,30-70 (Net 75),30%,30%,0%,75
,I-US-00011,Impact Manufacturing,I-US-00011 Impact Manufacturing,Net 45,0%,0%,0%,45
,I-US-00016 ,"Innovative Packaging Solutions, Inc","I-US-00016 Innovative Packaging Solutions, Inc",0-100 (Net 0),0%,100%,0%,0
,J-CN-00003 ,"JINHUA DKS SPORTS GOODS CO.,LTD","J-CN-00003 Jinhua DKS Sports Goods Co., Ltd",Net 30,0%,0%,0%,30
,J-CN-00017,"Jieyang Fengxing Stainless Steel Products Co., Ltd.","J-CN-00017 Jieyang Fengxing Stainless Steel Products Co., Ltd.",Net 30,0%,0%,0%,30
,J-CN-00020,"Jake Houseware Co., Ltd","J-CN-00020 Jake Houseware Co., Ltd",30-70 (Net 0),30%,100%,70%,0
,J-CN-00022 ,Jiangmen City Jasion Houseware Company Limited,J-CN-00022 Jiangmen City Jasion Houseware Company Limited,30-70 (Net 0),30%,100%,70%,0
,J-CN-00035,Jinhua Childhood Toys Factory,J-CN-00035 Jinhua Childhood Toys Factory,30-70 (Net 0),30%,100%,70%,0
,J-CN-00039,"Jiangyin Mingde Sports Goods Co.,Ltd","J-CN-00039 Jiangyin Mingde Sports Goods Co.,Ltd",10/ 90 net 30 against B/L copy.,10%,10%,0%,30
,J-CN-00040 ,Jiangsu Jilong Sport and Leisure Products Co. LTD,J-CN-00040 Jiangsu Jilong Sport and Leisure Products Co. LTD,30-70 (Net 30),30%,30%,0%,30
,J-CN-00041 ,"Jiaxing Deyong Textiles Co., Ltd","J-CN-00041 Jiaxing Deyong Textiles Co., Ltd",Net 30,0%,0%,0%,30
,K-CN-00004 ,Kaida,K-CN-00004 Kaida,30-70 (Net 0),30%,100%,70%,0
,K-CN-00005,Kirlin,K-CN-00005 Kirlin,40-60 (Net 0),40%,100%,60%,0
,K-CN-00007 ,Ningbo Kinggle Machinery Co. Ltd.,K-CN-00007 Ningbo Kinggle Machinery Co. Ltd.,40/60,40%,100%,60%,0
,K-CN-00011 ,"Kunshan Keyan New Material Tech Co.,Ltd","K-CN-00011 Kunshan Keyan New Material Tech Co.,Ltd",50/50 (Net 0),50%,100%,50%,0
,K-IN-00001,Kraftwares LTD,K-IN-00001 Kraftwares LTD,30/70,30%,100%,70%,0
,K-IN-00001 ,Kraftwares LTD,K-IN-00001 Kraftwares LTD,30/70,30%,100%,70%,0
,K-PK-00001 ,KIMBEL ENTERPRISES (PVT) LTD.,K-PK-00001 KIMBEL ENTERPRISES (PVT) LTD.,Net 30,0%,0%,0%,30
,K-VT-00001,Kim Duc,K-VT-00001 Kim Duc,Net 30,0%,0%,0%,30
,L-CN-00005,"Zhejiang Rifeng Electrical Appliance Co.,Ltd","L-CN-00005 Zhejiang Rifeng Electrical Appliance Co.,Ltd",30/70 (Net 30),30%,30%,0%,30
,L-CN-00008 ,"Luoyang Jin Feng Office Furniture Co., Ltd","L-CN-00008 Luoyang Jin Feng Office Furniture Co., Ltd",30-70 (Net 20),30%,30%,0%,20
,L-CN-00012,Lumi Legend Corporation,L-CN-00012 Lumi Legend Corporation,30-70 (Net 0),30%,100%,70%,0
,L-CN-00013 ,Layo,L-CN-00013 Layo,100% Before Shipment,0%,100%,0%,0
,L-CN-00018,"Langfang Yuxin Jingyi Metal Product Co., Ltd","L-CN-00018 Langfang Yuxin Jingyi Metal Product Co., Ltd",30-70 (Net 0),30%,100%,70%,0
,L-CN-00019 ,Linyi Junxing Sports Equipment,L-CN-00019 Linyi Junxing Sports Equipment,30-70 (Net 0),30%,100%,70%,0
,L-KR-00001 ,Locksy,L-KR-00001 Locksy,10-90 (Net 0),10%,100%,90%,0
,L-UK-00009,Lothian Labels Ltd,L-UK-00009 Lothian Labels Ltd,NET 30,0%,0%,0%,30
,L-US-00013 ,Lief Labs,L-US-00013 Lief Labs,30/70(Net15),30%,30%,0%,15
,M-CN-00003 ,"Moncanol - ZHEJIANG MONCANOL HOME TEXTILES CO., LTD.","M-CN-00003 Moncanol - ZHEJIANG MONCANOL HOME TEXTILES CO., LTD.",Net 30,0%,0%,0%,30
,M-CN-00008 ,Mingkeda Industries,M-CN-00008 Mingkeda Industries,NET 30 ,0%,0%,0%,30
,M-CN-00012 ,MegPack,M-CN-00012 MegPack,30-70 (Net 0),30%,100%,70%,0
,M-CN-00014,"Guangzhou Junguang Technology Co., Ltd.","M-CN-00014 Guangzhou Junguang Technology Co., Ltd.",Net 30,0%,0%,0%,30
,M-CZ-00001 ,Marvinpac CZ s.r.o.,M-CZ-00001 Marvinpac CZ s.r.o.,50/50 (Net 30),50%,50%,0%,30
,M-IN-00001,Marvel Fragrances Company,M-IN-00001 Marvel Fragrances Company,Net 30,0%,0%,0%,30
,M-TW-00001,Mandarin Hinting,M-TW-00001 Mandarin Hinting,30% / 70%(N30),30%,30%,0%,20
,M-UK-00001 ,MediaPrint EK Ltd,M-UK-00001 MediaPrint EK Ltd,NET14,0%,0%,0%,14
,N-CN-00003,"Ningbo Zhe Kai Electric Appliance Co., Ltd","N-CN-00003 Ningbo Zhe Kai Electric Appliance Co., Ltd",80/20 Net 30,80%,80%,0%,35
,N-CN-00013,"Nantong Jinruite Sports Goods Co., Ltd","N-CN-00013 Nantong Jinruite Sports Goods Co., Ltd",Net 30,0%,0%,0%,30
,N-CN-00026 ,"Nantong Hengwei Polyurethane Products Co, Ltd.","N-CN-00026 Nantong Hengwei Polyurethane Products Co, Ltd.",Net 30,0%,0%,0%,30
,N-CN-00044 ,Natural House/ Fujian Newmark Industrial Co. Ltd.,N-CN-00044 Natural House/ Fujian Newmark Industrial Co. Ltd.,30/70 (Net 30),30%,30%,0%,30
,N-CN-00049 ,"Ningbo Longchen Magnetics Co., Ltd.","N-CN-00049 Ningbo Longchen Magnetics Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,N-CN-00051 ,"Ningbo QSR Auto Parts IMP & EXP Co., Ltd","N-CN-00051 Ningbo QSR Auto Parts IMP & EXP Co., Ltd",Net 30,0%,0%,0%,30
,N-CN-00054 ,"Ningbo Winsing Union Co., Ltd","N-CN-00054 Ningbo Winsing Union Co., Ltd",30/70 (Net 30),30%,30%,0%,30
,N-CN-00055,"Ningbo Brightenlux Electric Appliance Co.,Ltd","N-CN-00055 Ningbo Brightenlux Electric Appliance Co.,Ltd",NET 30,0%,0%,0%,30
,N-CN-00056 ,"Ningbo Mika Import & Export Co., Ltd","N-CN-00056 Ningbo Mika Import & Export Co., Ltd",Net 30,0%,0%,0%,30
,N-CN-00057,"Ningbo Messi Lighting Electric CO., LTD","N-CN-00057 Ningbo Messi Lighting Electric CO., LTD",30-70 (Net 0),30%,100%,70%,0
,N-CN-00062 ,"Ningbo J&T International Trading Co.,Ltd","N-CN-00062 Ningbo J&T International Trading Co.,Ltd",30-70 (Net 0),30%,100%,70%,0
,N-CN-00064 ,"Ningbo Hunter Import & Export Co., LTD","N-CN-00064 Ningbo Hunter Import & Export Co., LTD",30-70 (Net 0),30%,100%,70%,0
,N-CN-00067 ,"Ningbo Happy Stone Outdoors Co., Ltd.","N-CN-00067 Ningbo Happy Stone Outdoors Co., Ltd.",30-70 (Net 0),30%,100%,70%,0
,N-CN-00071 ,Nippon Seal,N-CN-00071 Nippon Seal,Net 60,0%,0%,0%,60
