As Of Date,Coordinator,Brand,Whse Internal ID,Warehouse,Seller Account,Amazon Store Name,Supplier,Status,PO #,Memo,Date Entered,ESTIMATED READY DATE,PO Line No.,ASIN,SKU,Assembly SKU,Description,Quantity,Cost in USD,Cost in PO Currency,Currency,Estimated Ready Date / ERD,Early Pickup date,Late Pickup Date,Earliest Delivery Date,LATEST DELIVERY DATE,Quantity Received,Quantity on Inbound Shipments,Supplier Shipping Country Code,Supplier Billing Country Code,Supplier Ship From Country Code (From PO),Closed,Custom Form,XPO Integration Status,Outbound Doc Sent to XPO Connect,Send to XPO Connect,ID,Destination Type,INCOTERM,ARN#,FBA Shipment ID#,3PL FCID#
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,1,,AOR-OsCost-CACITRUS24OZ,AOR-PET-CITR-24OZx4,24oz PG Citrus Scent Labor Cost Canada,7000,2.32,2.32,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,2,,AOR-OsCost-4CT20OZ,AOR-PET-20OZ,20oz RTU 4ct US Labor SKU,15000,1.82,1.82,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,3,,AOR-OsCost-OdCon8-Lbr-1,AOR-PET-OdCon-8-AB,Odor Eliminator Concentrate 8oz Labor Component Part,17000,4.36,4.36,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,4,,AOR-OsCost-8CON,AOR-PET-8CONFRSH,8oz Concentrate Labor Cost,1440,1.67,1.67,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,,,Chempace Corporation,Pending Receipt,PO66910,,4/16/2025 23:31,,5,,AOR-OsCost-RTU20OZ,AOR-PET-RTU-20OZFG,20oz BR RTU Labor Cost US,6000,1.75,1.75,USD,4/10/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,C-US-00001,,FOB,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2110,"Sealpak Associates, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"R&D Printing, Inc.",Pending Receipt,PO66909,WalMart Q4 Launch Offf-Cyle Buy for April,4/16/2025 22:20,,1,N/A,SST-Film-MM-US-V4,,MM WIpe Pouches - 2.5 x 3.5) - COMP,660000,0.03325,0.03325,USD,5/21/2025,5/22/2025,5/29/2025,5/30/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,R-US-00011,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2110,"Sealpak Associates, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"R&D Printing, Inc.",Pending Receipt,PO66909,WalMart Q4 Launch Offf-Cyle Buy for April,4/16/2025 22:20,,2,N/A,SST-Film-MM-US-V4,,MM WIpe Pouches - 2.5 x 3.5) - COMP,465000,0.03325,0.03325,USD,7/21/2025,7/22/2025,7/29/2025,7/30/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,R-US-00011,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Winshow Industrial Ltd,Pending Receipt,PO66908,WalMart Q4 Launch Offf-Cyle Buy for April,4/16/2025 21:09,,1,N/A,SLEEVE-MM-120ml-V4,,New Version August 21 Consolidated item 292540) - COMP,240000,0.0105,0.0105,USD,5/8/2025,5/9/2025,5/16/2025,5/17/2025,,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00030,3PL,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Winshow Industrial Ltd,Pending Receipt,PO66908,WalMart Q4 Launch Offf-Cyle Buy for April,4/16/2025 21:09,,2,N/A,SLEEVE-MM-120ml-V4,,New Version August 21 Consolidated item 292540) - COMP,300000,0.0105,0.0105,USD,5/15/2025,5/16/2025,5/23/2025,5/24/2025,,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00030,3PL,DAP,,,
4/17/2025 19:03,Lei Shi,,1234,Carrier to NA [Virtual],ChomChom US,ChomChom_US,Nippon Seal,Pending Receipt,PO66907,Mar OTB_25K reserve for Malaysia production,4/15/2025 23:34,,1,B00BAGTNAQ,CCR-PET-PtHrRmrRlr-1-MA,,Pet Hair Remover Roller,25920,3.8,3.8,USD,6/16/2025,6/17/2025,6/24/2025,6/25/2025,8/15/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,N-CN-00071,,FOB,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"Zhejiang Sun-Rain Industrial Co .,Ltd",Pending Receipt,PO66906,WalMart Q4 Launch Offf-Cyle Buy for April,4/15/2025 21:26,,1,N/A,CAP-20/410-Blue,,MM Finger Sprayer Cap 20/410) - COMP,543000,0.035,0.035,USD,5/16/2025,5/17/2025,5/24/2025,5/25/2025,,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,Z-CN-00055,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Berlin Packaging LLC,Pending Receipt,PO66890,WalMart Q4 Launch Offf-Cyle Buy for April,4/14/2025 23:07,,1,N/A,AFA-COMP-24-100NTrig,,Berlin grey and white 24/400 neck trigger,200000,0.14,0.14,USD,5/1/2025,5/2/2025,5/9/2025,5/10/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,B-US-00017,3PL,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2110,"Sealpak Associates, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"Glatfelter Sontara Old Hickory, Inc.",Pending Receipt,PO66889,WalMart Q4 Launch Offf-Cyle Buy for April,4/14/2025 22:42,,1,N/A,Towelette for Wipe,,Towelette for Wipe,52000,0.10020007,0.10020007,USD,5/26/2025,5/27/2025,6/3/2025,6/4/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,G-US-00014,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2110,"Sealpak Associates, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"Glatfelter Sontara Old Hickory, Inc.",Pending Receipt,PO66889,WalMart Q4 Launch Offf-Cyle Buy for April,4/14/2025 22:42,,2,N/A,Towelette for Wipe,,Towelette for Wipe,72000,0.10020007,0.10020007,USD,7/4/2025,7/5/2025,7/12/2025,7/13/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,G-US-00014,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"Unishine (Shanghai) Industrial Co., Ltd.",Pending Receipt,PO66888,WalMart Q4 Launch Offf-Cyle Buy for April,4/14/2025 22:10,,1,N/A,THS-COMP-MMSTRMVPN,,Empty Pen casing with Print,407000,0.72,0.72,USD,5/16/2025,5/17/2025,5/24/2025,5/25/2025,,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,U-CN-00004,3PL,DDP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,"Unishine (Shanghai) Industrial Co., Ltd.",Pending Receipt,PO66888,WalMart Q4 Launch Offf-Cyle Buy for April,4/14/2025 22:10,,2,N/A,THS-COMP-MMSTRMVPN,,Empty Pen casing with Print,1100000,0.4,0.4,USD,5/16/2025,5/17/2025,5/24/2025,5/25/2025,,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,U-CN-00004,3PL,FOB,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,United States Tape and Label Corporation (U S Tape & Label Corp),Pending Receipt,PO66887,,4/14/2025 14:35,,1,N/A,THS-COMP-CLRSLVMME,,Color Sleeve for Miss Mouth's Messy Eater,336000,0.20362,0.20362,USD,5/23/2025,5/24/2025,5/31/2025,6/1/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,U-US-00017,,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Berlin Packaging LLC,Pending Receipt,PO66886,,4/14/2025 13:50,,1,N/A,THS-COMP-BOTL,,16oz Clear BR 28-410 Ratchet Bottle,250000,0.329,0.329,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,B-US-00017,3PL,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,1234,Carrier to NA [Virtual],The Hate Stains Co. US,The_Hate_Stains_Co._US,Berlin Packaging LLC,Pending Receipt,PO66886,,4/14/2025 13:50,,2,N/A,THS-COMP-CAP,,28mm White Ribbed Cap with an HS Liner (not vented),250000,0.0626,0.0626,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,B-US-00017,3PL,DAP,,,
4/17/2025 19:03,Jess M Holmes,,3623,US Donations Charope,Angry Orange US,Green_Tree_Products,"Ambrose Continental, LLC dba Hudson Associates",Pending Receipt,PO66884,,4/10/2025 7:27,,1,B00OI20SXA,AOR-COMP-8OZBRORG,,8oz Orange Boston Round 50% PCR,130000,0.21,0.21,USD,4/30/2025,5/1/2025,5/8/2025,5/9/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,A-US-00032,,FOB,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Robert Colletti,Pending Receipt,PO66883,,4/9/2025 20:44,,1,N/A,THS-COMP-MSTRCTNPCH-16OZ,,44-ECT Kraft Master CTN for 16oz Pouch,10500,0.74,0.74,USD,5/2/2025,5/3/2025,5/10/2025,5/11/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,P-US-00017,3PL,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",The Hate Stains Co. US,The_Hate_Stains_Co._US,Robert Colletti,Pending Receipt,PO66883,,4/9/2025 20:44,,2,n/a,THS-HHS-BndlMailBx,,Bundle Mailer Box,6500,0.42,0.42,USD,5/2/2025,5/3/2025,5/10/2025,5/11/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,P-US-00017,3PL,DAP,,,
4/17/2025 19:03,Jess M Holmes,Angry Orange,1236,Chempace,Angry Orange US,Green_Tree_Products,"Ambrose Continental, LLC dba Hudson Associates",Pending Receipt,PO66882,,4/9/2025 20:01,,1,N/A,AOR-COMP-PGBTL-32OZ-CLR,,32oz Pistol Grip 50% PCR Clear Bottle 48g,38556,0.32,0.32,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,A-US-00032,,FOB,,,
4/17/2025 19:03,Lei Shi,Ranger Ready,1236,Chempace,Ranger_Ready,Ranger_Ready,Connecticut Container Corp (Unicorr Packaging Group),Pending Bill,PO66881,,4/7/2025 6:21,,1,N/A,3PAK100,,3 Pack Shipper boxes - 100ml bottles,10000,0.387,0.387,USD,4/9/2025,4/10/2025,4/17/2025,4/18/2025,4/11/2025,10000,,US,US,US,NO,Thrasio SC Purchase Order,,,No,C-US-00035,,DAP,,,
4/17/2025 19:03,Lei Shi,Ranger Ready,1236,Chempace,Ranger_Ready,Ranger_Ready,Connecticut Container Corp (Unicorr Packaging Group),Pending Bill,PO66881,,4/7/2025 6:21,,2,N/A,2PAK710,,2 Pack Boxes | 710ml,5000,0.861,0.861,USD,4/9/2025,4/10/2025,4/17/2025,4/18/2025,4/11/2025,5000,,US,US,US,NO,Thrasio SC Purchase Order,,,No,C-US-00035,,DAP,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",,,"Wepackit,Inc.",Pending Receipt,PO66880,,4/4/2025 9:33,,1,,THS-COMP-KSBTL-16OZ-OsCost,THS-HHB-ESRST-16OZ,Hate Stain Outsourced Cost - 16oz,3000,0.86,0.86,USD,4/15/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,W-US-00011,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",,,"Wepackit,Inc.",Pending Receipt,PO66880,,4/4/2025 9:33,,2,,HSN-HHB-OsCost-1Bottle 10 wipes,HSN-HHB-MsySplKt,Hate Stain Outsourced Cost - 10 Wipes / 1 Bottle,7000,0.45,0.45,USD,4/22/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,W-US-00011,3PL,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",,,"Wepackit,Inc.",Pending Receipt,PO66880,,4/4/2025 9:33,,3,,THS-COMP-FILKIT-OsCost,THS-HHS-STNRVPN-2P,Labor sku for filling and kitting the stain removing pen,15000,0.96,0.96,USD,4/22/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,W-US-00011,,EXW,,,
4/17/2025 19:03,Recardo Broadwater,The Hate Stains Co.,2111,"Wepackit, Inc.",,,"Wepackit,Inc.",Pending Receipt,PO66880,,4/4/2025 9:33,,4,,HSN-HHB-OsCost-1pack,THS-HHS-RTSHCL-4OZ,Hate Stain Outsourced Cost - 1 pack,19200,0.26,0.26,USD,4/15/2025,,,,,0,,US,US,US,NO,Thrasio Outsourced Purchase Order,,,,W-US-00011,,EXW,,,
4/17/2025 19:03,Lauren Gulliver,Better Life,3615,"Tropical Products, Inc. Salem, MA",Better Life US,Better_Life_US,United States Tape and Label Corporation (U S Tape & Label Corp),Pending Receipt,PO66875,,4/2/2025 13:17,,1,N/A,BRL-HOK-KIBASCL-16,,Kitchen and Bath Scrubber 16oz - LABEL,15000,0.10212,0.10212,USD,4/21/2025,4/22/2025,4/29/2025,4/30/2025,4/30/2025,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,U-US-00017,,DAP,,,
4/17/2025 19:03,Lauren Gulliver,Better Life,,,Better Life US,Better_Life_US,PCI Manufacturing LLC,Pending Receipt,PO66874,,4/2/2025 12:31,,1,B002AFK8QY,BRL-HHB-24155,,24155 (Digital) Floor Cleaner 32oz Citrus Mint 2 Pack,10002,3.2537,3.2537,USD,5/23/2025,5/27/2025,6/2/2025,6/2/2025,6/9/2025,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,P-US-00018,,FOB,,,
4/17/2025 19:03,Lauren Gulliver,Better Life,,,Better Life US,Better_Life_US,PCI Manufacturing LLC,Pending Receipt,PO66874,,4/2/2025 12:31,,2,B07HZJVFK7,BRL-HHB-24211,,24211 (Digital) Toilet Bowl Cleaner 24 oz Tea Tree & Peppermint 2 Pack,6501,4.1267,4.1267,USD,5/23/2025,5/27/2025,6/2/2025,6/2/2025,6/9/2025,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,P-US-00018,,FOB,,,
4/17/2025 19:03,Lauren Gulliver,Better Life,,,Better Life US,Better_Life_US,PCI Manufacturing LLC,Pending Receipt,PO66874,,4/2/2025 12:31,,3,B07L4H21T6,BRL-HHB-24202,,24202 (Digital) Tub and Tile Cleaner 32 oz Tea Tree & Eucalyptus 2 Pack,5001,4.26,4.26,USD,5/23/2025,5/27/2025,6/2/2025,6/2/2025,6/9/2025,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,P-US-00018,,FOB,,,
4/17/2025 19:03,Lauren Gulliver,Better Life,,,Better Life US,Better_Life_US,PCI Manufacturing LLC,Pending Receipt,PO66874,,4/2/2025 12:31,,4,B0040MIBBY,BRL-HHB-2409C,,2409C (Digital) All-Purpose Cleaner 32 oz 2 Pack Unscented,5001,3.8622,3.8622,USD,5/23/2025,5/27/2025,6/2/2025,6/2/2025,6/9/2025,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,P-US-00018,,FOB,,,
4/17/2025 19:03,Lauren Gulliver,Better Life,,,Better Life US,Better_Life_US,PCI Manufacturing LLC,Pending Receipt,PO66874,,4/2/2025 12:31,,5,B0040MH12Y,BRL-HHB-24425,,24425 (Digital) Glass Cleaner 32oz Unscented 2 Pack,5001,3.3067,3.3067,USD,5/23/2025,5/27/2025,6/2/2025,6/2/2025,6/9/2025,0,,US,US,US,NO,Thrasio SC Purchase Order,,,No,P-US-00018,,FOB,,,
4/17/2025 19:03,Elaine Guo,Hotel Sheets Direct,1234,Carrier to NA [Virtual],Hotel Sheets US,Hotel_Sheets_Direct_US,"Wuxi JHT Homewares Co., LTD",Pending Receipt,PO66873,Purchasing order March 2025,4/1/2025 5:43,,1,B07S718LSG,HTS-HOK-BmBdSht-QnLtGrey-18inDP,,Bamboo Bed Sheets Queen Light Grey-18 inch Deep Pocket,1160,21.03,21.03,USD,5/20/2025,5/21/2025,5/28/2025,5/29/2025,7/15/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,,FOB,,,
4/17/2025 19:03,Elaine Guo,Hotel Sheets Direct,1234,Carrier to NA [Virtual],Hotel Sheets US,Hotel_Sheets_Direct_US,"Wuxi JHT Homewares Co., LTD",Pending Receipt,PO66873,Purchasing order March 2025,4/1/2025 5:43,,2,B072W834QG,HTS-HOK-BmBdSht-KngSand-18inDP,,Bamboo Bed Sheet King Sand-18 inch Deep Pocket,900,25.61,25.61,USD,5/20/2025,5/21/2025,5/28/2025,5/29/2025,7/15/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,,FOB,,,
4/17/2025 19:03,Elaine Guo,Hotel Sheets Direct,1221,Amazon US,Hotel Sheets US,Hotel_Sheets_Direct_US,"Wuxi JHT Homewares Co., LTD",Pending Receipt,PO66873,Purchasing order March 2025,4/1/2025 5:43,,3,B01NCPLKJ8,HTS-HOK-BmPwCs-White,,Bamboo Pillow Case White,800,3.34,3.34,USD,5/10/2025,5/11/2025,5/18/2025,5/19/2025,6/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,,,
4/17/2025 19:03,Elaine Guo,Hotel Sheets Direct,1234,Carrier to NA [Virtual],Hotel Sheets US,Hotel_Sheets_Direct_US,"Wuxi JHT Homewares Co., LTD",Pending Receipt,PO66873,Purchasing order March 2025,4/1/2025 5:43,,4,B072WTFC19,HTS-HOK-BmBdSht-KngDrkGry-18inDP,,Bamboo Bed Sheets King Dark Grey-18 inch Deep Pocket,876,25.61,25.61,USD,5/20/2025,5/21/2025,5/28/2025,5/29/2025,7/15/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,,FOB,,,
4/17/2025 19:03,Elaine Guo,Hotel Sheets Direct,1234,Carrier to NA [Virtual],Hotel Sheets US,Hotel_Sheets_Direct_US,"Wuxi JHT Homewares Co., LTD",Pending Receipt,PO66873,Purchasing order March 2025,4/1/2025 5:43,,5,B07V25ZCLT,HTS-HOK-BmBdSht-KngLtPink-18inDP,,Bamboo Bed Sheet King Light Pink-18 inch Deep Pocket,504,25.61,25.61,USD,5/20/2025,5/21/2025,5/28/2025,5/29/2025,7/15/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,,FOB,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66872,Mar- BAM,4/1/2025 1:51,,1,N/A,BSX-CSJ-WSFlxStckBra-CremeA,,"Nippies Flex Sticky Bra, Creme, A Cup, Wholesale",3318,3.08,3.08,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,5/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66872,Mar- BAM,4/1/2025 1:51,,2,N/A,BSX-CSJ-WSFlxStckBra-CremeB,,"Nippies Flex Sticky Bra, Creme, B Cup, Wholesale",3402,3.08,3.08,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,5/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66872,Mar- BAM,4/1/2025 1:51,,3,N/A,BSX-CSJ-WSFlxStckBra-CremeC,,"Nippies Flex Sticky Bra, Creme, C Cup, Wholesale",3392,3.08,3.08,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,5/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66872,Mar- BAM,4/1/2025 1:51,,4,N/A,BSX-CSJ-WSFlxStckBra-CremeD,,"Nippies Flex Sticky Bra, Creme, D Cup, Wholesale",2496,3.08,3.08,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,5/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66871,Mar- BAM,4/1/2025 1:38,,1,N/A,BSX-CSJ-TeardropCaramelRtl,,"Nippies Teardrop Skin Adhesives Nipple Cover, Caramel for retail",3600,3.55,3.55,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,7/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66871,Mar- BAM,4/1/2025 1:38,,2,N/A,BSX-CSJ-TeardropCocoRtl,,"Nippies Teardrop Skin Adhesives Nipple Cover, Coco for retail",2100,3.55,3.55,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,7/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66871,Mar- BAM,4/1/2025 1:38,,3,N/A,BSX-CSJ-TeardropCremeRtl,,"Nippies Teardrop Skin Adhesives Nipple Cover, Creme for retail",4500,3.55,3.55,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,7/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66871,Mar- BAM,4/1/2025 1:38,,4,N/A,BSX-CSJ-TeardropEspressoRtl,,"Nippies Teardrop Skin Adhesives Nipple Cover, Espresso for retail",2040,3.55,3.55,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,7/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Louisa Zhao,B-Six,1234,Carrier to NA [Virtual],B-Six US,B-Six US,"Dongguan Weaddu Technology Co., Ltd",Pending Receipt,PO66871,Mar- BAM,4/1/2025 1:38,,5,N/A,BSX-CSJ-TeardropHzntRtl,,"Nippies Teardrop Skin Adhesives Nipple Cover, Hazelnut for retail",2040,3.55,3.55,USD,5/30/2025,5/31/2025,6/7/2025,6/8/2025,7/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,D-CN-00044,,EXW,,,
4/17/2025 19:03,Brian Sang,Wise Owl,1221,Amazon US,Wise Owl Outfitters US,,"Zhejiang Kaisi Outdoor Products Co.,Ltd",Pending Receipt,PO66870,mar. 25 otb,4/1/2025 1:35,,1,B0BSB4HY47,WOL-SPO-CMPINHMCK-LTGRN-SGL,,Wise Owl Outfitters - WOL Camping Hammock Light Green- Single - Variation,1000,5.88,5.88,USD,6/4/2025,6/5/2025,6/12/2025,6/13/2025,8/4/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,Z-CN-00035,,FOB,,,
4/17/2025 19:03,Elaine Guo,DMD,1221,Amazon US,DMD US,DMD_US,"Wuxi JHT Homewares Co., LTD",Pending Receipt,PO66869,Purchasing order March 2025,3/31/2025 22:57,,1,B00DUG2LGC,DMD-HOK-PlwCse-KCrm,,Egyptian Quality Pillow Case Set King Cream,480,1.23,1.23,USD,5/10/2025,5/11/2025,5/18/2025,5/19/2025,6/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,,,
4/17/2025 19:03,Elaine Guo,DMD,1221,Amazon US,DMD US,DMD_US,"Wuxi JHT Homewares Co., LTD",Pending Receipt,PO66869,Purchasing order March 2025,3/31/2025 22:57,,2,B00LV4W4JY,DMD-HOK-PlBdSht-QSge,,Platinum Bed Sheets Queen Sage,216,5.18,5.18,USD,5/10/2025,5/11/2025,5/18/2025,5/19/2025,6/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,,,
4/17/2025 19:03,Elaine Guo,DMD,1221,Amazon US,DMD US,DMD_US,"Wuxi JHT Homewares Co., LTD",Pending Receipt,PO66869,Purchasing order March 2025,3/31/2025 22:57,,3,B09DHCRWXQ,DMD-HOK-PrBdSht-KLtGry,,6 Piece Premium Bed Sheets King Light Gray,972,6.61,6.61,USD,5/10/2025,5/11/2025,5/18/2025,5/19/2025,6/30/2025,0,,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,W-CN-00005,AMZ,FOB,,,
