As Of Date,Coordinator,Brand,Whse Internal ID,Warehouse,Seller Account,Amazon Store Name,Supplier,Status,PO #,Memo,Date Entered,ESTIMATED READY DATE,PO Line No.,ASIN,SKU,Assembly SKU,Description,Quantity,Cost in USD,Cost in PO Currency,Currency,Estimated Ready Date / ERD,Early Pickup date,Late Pickup Date,Earliest Delivery Date,LATEST DELIVERY DATE,Quantity Received,Quantity on Inbound Shipments,Supplier Shipping Country Code,Supplier Billing Country Code,Supplier Ship From Country Code (From PO),Closed,Custom Form,XPO Integration Status,Outbound Doc Sent to XPO Connect,Send to XPO Connect,ID,Destination Type,INCOTERM,ARN#,FBA Shipment ID#,3PL FCID#
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,1,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,4J8OLKRU,STAR-SUW556UQYV6ZX,IUSJ
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,4,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,74RDI3YX,STAR-QECXXW34XSUDM,IUSJ
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,5,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,3YOTT2QL,STAR-RAQQKAWXGXE56,IUSP
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,6,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,1F25BCRM,STAR-U7W3H3YPTXNPA,IUSP
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,7,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,6QAV7L7O,STAR-TW2JKBYUQW3ZU,IUSP
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,8,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,2JM2OFKO,STAR-WKXPCQWYX23H6,IUSP
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,9,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,6QVGFJ3V,STAR-QNYPZ32SFMDPW,IUSJ
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,10,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,737BIIML,STAR-SJYUG4JS6ZPC6,IUSP
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,11,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,5CDLD9BQ,STAR-UFGYGYRMW6WNX,IUSL
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,12,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,6Y4ALA8C,STAR-VYECW6Q3P6WQK,IUSL
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,13,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,8JIJ62DD,STAR-V2PNQQXBHGV4X,IUSL
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,14,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,7FWYB24C,STAR-SNFJBFGQS56NX,IUSL
4/17/2025 19:03,Elaine Guo,Becky Cameron,1221,Amazon US,Becky Cameron US,Becky_Cameron_Home_US,"Hangzhou Jinhong Sanniao Down Products CO.,Ltd",Partially Received,PO65427,Oct Purchase Instructions 2024,11/4/2024 17:08,,15,B01LYC1XSM,BKY-HOK-GPlwK-2p-3,,Beckham Hotel Collection Down Alternative Bed Pillow King Pair - v3 Packaging Update,2160,8.6,8.6,USD,12/4/2024,12/5/2024,12/12/2024,12/13/2024,2/2/2025,2160,2160,CN,CN,CN,NO,Thrasio SC Purchase Order,,,No,H-CN-00060,AMZ,FOB,5GM4TGKV,STAR-SPPW7ET3NH5UA,IUSL
